agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,date,mean_va
USGS,6479010,60,128843,7,7,2014,2021,8,7/7/2015,850
USGS,6479010,60,128843,7,8,2014,2021,8,7/8/2015,811
USGS,6479010,60,128843,7,9,2014,2021,8,7/9/2015,847
USGS,6479010,60,128843,7,10,2014,2021,8,7/10/2015,849
USGS,6479010,60,128843,7,11,2014,2021,8,7/11/2015,761
USGS,6479010,60,128843,7,12,2014,2021,8,7/12/2015,661
USGS,6479010,60,128843,7,13,2014,2021,8,7/13/2015,666
USGS,6479010,60,128843,7,14,2014,2021,8,7/14/2015,643
USGS,6479010,60,128843,7,15,2014,2021,8,7/15/2015,569
USGS,6479010,60,128843,7,16,2014,2021,8,7/16/2015,518
USGS,6479010,60,128843,7,17,2014,2021,8,7/17/2015,500
USGS,6479010,60,128843,7,18,2014,2021,8,7/18/2015,494
USGS,6479010,60,128843,7,19,2014,2021,8,7/19/2015,481
USGS,6479010,60,128843,7,20,2014,2021,8,7/20/2015,463
USGS,6479010,60,128843,7,21,2014,2021,8,7/21/2015,453
USGS,6479010,60,128843,7,22,2014,2021,8,7/22/2015,438
USGS,6479010,60,128843,7,23,2014,2021,8,7/23/2015,411
USGS,6479010,60,128843,7,24,2014,2021,8,7/24/2015,375
USGS,6479010,60,128843,7,25,2014,2021,8,7/25/2015,340
USGS,6479010,60,128843,7,26,2014,2021,8,7/26/2015,311
USGS,6479010,60,128843,7,27,2014,2021,8,7/27/2015,290
USGS,6479010,60,128843,7,28,2014,2021,8,7/28/2015,270
USGS,6479010,60,128843,7,29,2014,2021,8,7/29/2015,257
USGS,6479010,60,128843,7,30,2014,2021,8,7/30/2015,247
USGS,6479010,60,128843,7,31,2014,2021,8,7/31/2015,247
USGS,6479010,60,128843,8,1,2014,2021,8,8/1/2015,249
USGS,6479010,60,128843,8,2,2014,2021,8,8/2/2015,248
USGS,6479010,60,128843,8,3,2014,2021,8,8/3/2015,250
USGS,6479010,60,128843,8,4,2014,2021,8,8/4/2015,254
USGS,6479010,60,128843,8,5,2014,2021,8,8/5/2015,261
USGS,6479010,60,128843,8,6,2014,2021,8,8/6/2015,269
USGS,6479010,60,128843,8,7,2014,2021,8,8/7/2015,268
USGS,6479010,60,128843,8,8,2014,2021,8,8/8/2015,286
USGS,6479010,60,128843,8,9,2014,2021,8,8/9/2015,292
USGS,6479010,60,128843,8,10,2014,2021,8,8/10/2015,274
USGS,6479010,60,128843,8,11,2014,2021,8,8/11/2015,249
USGS,6479010,60,128843,8,12,2014,2021,8,8/12/2015,231
USGS,6479010,60,128843,8,13,2014,2021,8,8/13/2015,218
USGS,6479010,60,128843,8,14,2014,2021,8,8/14/2015,207
USGS,6479010,60,128843,8,15,2014,2021,8,8/15/2015,200
USGS,6479010,60,128843,8,16,2014,2021,8,8/16/2015,195
USGS,6479010,60,128843,8,17,2014,2021,8,8/17/2015,191
USGS,6479010,60,128843,8,18,2014,2021,8,8/18/2015,204
USGS,6479010,60,128843,8,19,2014,2021,8,8/19/2015,223
USGS,6479010,60,128843,8,20,2014,2021,8,8/20/2015,225
USGS,6479010,60,128843,8,21,2014,2021,8,8/21/2015,213
USGS,6479010,60,128843,8,22,2014,2021,8,8/22/2015,203
USGS,6479010,60,128843,8,23,2014,2021,8,8/23/2015,199
USGS,6479010,60,128843,8,24,2014,2021,8,8/24/2015,209
USGS,6479010,60,128843,8,25,2014,2021,8,8/25/2015,202
USGS,6479010,60,128843,8,26,2014,2021,8,8/26/2015,195
USGS,6479010,60,128843,8,27,2014,2021,8,8/27/2015,208
USGS,6479010,60,128843,8,28,2014,2021,8,8/28/2015,259
USGS,6479010,60,128843,8,29,2014,2021,8,8/29/2015,322
USGS,6479010,60,128843,8,30,2014,2021,8,8/30/2015,284
USGS,6479010,60,128843,8,31,2014,2021,8,8/31/2015,259
USGS,6479010,60,128843,9,1,2014,2021,8,9/1/2015,250
USGS,6479010,60,128843,9,2,2014,2021,8,9/2/2015,234
USGS,6479010,60,128843,9,3,2014,2021,8,9/3/2015,222
USGS,6479010,60,128843,9,4,2014,2021,8,9/4/2015,207
USGS,6479010,60,128843,9,5,2014,2021,8,9/5/2015,195
USGS,6479010,60,128843,9,6,2014,2021,8,9/6/2015,185
USGS,6479010,60,128843,9,7,2014,2021,8,9/7/2015,178
USGS,6479010,60,128843,9,8,2014,2021,8,9/8/2015,173
USGS,6479010,60,128843,9,9,2014,2021,8,9/9/2015,175
USGS,6479010,60,128843,9,10,2014,2021,8,9/10/2015,174
USGS,6479010,60,128843,9,11,2014,2021,8,9/11/2015,191
USGS,6479010,60,128843,9,12,2014,2021,8,9/12/2015,260
USGS,6479010,60,128843,9,13,2014,2021,8,9/13/2015,288
USGS,6479010,60,128843,9,14,2014,2021,8,9/14/2015,324
USGS,6479010,60,128843,9,15,2014,2021,8,9/15/2015,349
USGS,6479010,60,128843,9,16,2014,2021,8,9/16/2015,436
USGS,6479010,60,128843,9,17,2014,2021,8,9/17/2015,719
USGS,6479010,60,128843,9,18,2014,2021,8,9/18/2015,1130
USGS,6479010,60,128843,9,19,2014,2021,8,9/19/2015,1270
USGS,6479010,60,128843,9,20,2014,2021,8,9/20/2015,1220
USGS,6479010,60,128843,9,21,2014,2021,8,9/21/2015,1220
USGS,6479010,60,128843,9,22,2014,2021,8,9/22/2015,1110
USGS,6479010,60,128843,9,23,2014,2021,8,9/23/2015,1040
USGS,6479010,60,128843,9,24,2014,2021,8,9/24/2015,1000
