agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,count_nu,,mean_va
USGS,6478513,60,294960,10,29,2014,2021,8,10/29/2015,1110
USGS,6478513,60,294960,10,30,2014,2021,8,10/30/2015,1090
USGS,6478513,60,294960,10,31,2014,2021,8,10/31/2015,1070
USGS,6478513,60,294960,11,1,2014,2021,8,11/1/2015,1040
USGS,6478513,60,294960,11,2,2014,2021,8,11/2/2015,1010
USGS,6478513,60,294960,11,3,2014,2021,8,11/3/2015,993
USGS,6478513,60,294960,11,4,2014,2021,8,11/4/2015,974
USGS,6478513,60,294960,11,5,2014,2021,8,11/5/2015,961
USGS,6478513,60,294960,11,6,2014,2021,8,11/6/2015,947
USGS,6478513,60,294960,11,7,2014,2021,8,11/7/2015,928
USGS,6478513,60,294960,11,8,2014,2021,8,11/8/2015,906
USGS,6478513,60,294960,11,9,2014,2021,8,11/9/2015,884
USGS,6478513,60,294960,11,10,2014,2021,8,11/10/2015,861
USGS,6478513,60,294960,11,11,2014,2021,8,11/11/2015,833
USGS,6478513,60,294960,11,12,2014,2021,8,11/12/2015,802
USGS,6478513,60,294960,11,13,2014,2021,8,11/13/2015,766
USGS,6478513,60,294960,11,14,2014,2021,8,11/14/2015,748
USGS,6478513,60,294960,11,15,2014,2021,8,11/15/2015,758
USGS,6478513,60,294960,11,16,2014,2021,8,11/16/2015,795
USGS,6478513,60,294960,11,17,2014,2021,8,11/17/2015,819
USGS,6478513,60,294960,11,18,2014,2021,8,11/18/2015,833
USGS,6478513,60,294960,11,19,2014,2021,8,11/19/2015,838
USGS,6478513,60,294960,11,20,2014,2021,8,11/20/2015,842
USGS,6478513,60,294960,11,21,2014,2021,8,11/21/2015,853
USGS,6478513,60,294960,11,22,2014,2021,8,11/22/2015,875
USGS,6478513,60,294960,11,23,2014,2021,8,11/23/2015,895
USGS,6478513,60,294960,11,24,2014,2021,8,11/24/2015,911
USGS,6478513,60,294960,11,25,2014,2021,8,11/25/2015,924
USGS,6478513,60,294960,11,26,2014,2021,8,11/26/2015,938
USGS,6478513,60,294960,11,27,2014,2021,8,11/27/2015,951
USGS,6478513,60,294960,11,28,2014,2021,8,11/28/2015,962
USGS,6478513,60,294960,11,29,2014,2021,8,11/29/2015,971
USGS,6478513,60,294960,11,30,2014,2021,8,11/30/2015,964
USGS,6478513,60,294960,12,1,2014,2021,8,12/1/2015,909
USGS,6478513,60,294960,12,2,2014,2021,8,12/2/2015,839
USGS,6478513,60,294960,12,3,2014,2021,8,12/3/2015,793
USGS,6478513,60,294960,12,4,2014,2021,8,12/4/2015,774
USGS,6478513,60,294960,12,5,2014,2021,8,12/5/2015,777
USGS,6478513,60,294960,12,6,2014,2021,8,12/6/2015,789
USGS,6478513,60,294960,12,7,2014,2021,8,12/7/2015,797
USGS,6478513,60,294960,12,8,2014,2021,8,12/8/2015,799
USGS,6478513,60,294960,12,9,2014,2021,8,12/9/2015,791
USGS,6478513,60,294960,12,10,2014,2021,8,12/10/2015,775
USGS,6478513,60,294960,12,11,2014,2021,8,12/11/2015,758
USGS,6478513,60,294960,12,12,2014,2021,8,12/12/2015,752
USGS,6478513,60,294960,12,13,2014,2021,8,12/13/2015,753
USGS,6478513,60,294960,12,14,2014,2021,8,12/14/2015,749
USGS,6478513,60,294960,12,15,2014,2021,8,12/15/2015,748
USGS,6478513,60,294960,12,16,2014,2021,8,12/16/2015,753
