agency_cd,site_no,parameter_cd,ts_id,month_nu,day_nu,begin_yr,end_yr,date,count_nu,mean_va
USGS,6485950,60,128929,11,27,2016,2021,11/27/2015,6,3200
USGS,6485950,60,128929,11,28,2016,2021,11/28/2015,6,3070
USGS,6485950,60,128929,11,29,2016,2021,11/29/2015,6,3120
USGS,6485950,60,128929,11,30,2016,2021,11/30/2015,6,3270
USGS,6485950,60,128929,12,1,2016,2021,12/1/2015,6,3160
USGS,6485950,60,128929,12,2,2016,2021,12/2/2015,6,3160
USGS,6485950,60,128929,12,3,2016,2021,12/3/2015,6,3030
USGS,6485950,60,128929,12,4,2016,2021,12/4/2015,6,2920
USGS,6485950,60,128929,12,5,2016,2021,12/5/2015,6,2820
USGS,6485950,60,128929,12,6,2016,2021,12/6/2015,6,2640
USGS,6485950,60,128929,12,7,2016,2021,12/7/2015,6,2490
USGS,6485950,60,128929,12,8,2016,2021,12/8/2015,6,2420
USGS,6485950,60,128929,12,9,2016,2021,12/9/2015,6,2320
USGS,6485950,60,128929,12,10,2016,2021,12/10/2015,6,2240
USGS,6485950,60,128929,12,11,2016,2021,12/11/2015,6,2170
USGS,6485950,60,128929,12,12,2016,2021,12/12/2015,6,2160
USGS,6485950,60,128929,12,13,2016,2021,12/13/2015,6,2210
USGS,6485950,60,128929,12,14,2016,2021,12/14/2015,6,2240
USGS,6485950,60,128929,12,15,2016,2021,12/15/2015,6,2230
USGS,6485950,60,128929,12,16,2016,2021,12/16/2015,6,2190
USGS,6485950,60,128929,12,17,2016,2021,12/17/2015,6,2130
USGS,6485950,60,128929,12,18,2016,2021,12/18/2015,6,2040
USGS,6485950,60,128929,12,19,2016,2021,12/19/2015,6,2000
USGS,6485950,60,128929,12,20,2016,2021,12/20/2015,6,1940
USGS,6485950,60,128929,12,21,2016,2021,12/21/2015,6,1880
USGS,6485950,60,128929,12,22,2016,2021,12/22/2015,6,1940
USGS,6485950,60,128929,12,23,2016,2021,12/23/2015,6,1930
USGS,6485950,60,128929,12,24,2016,2021,12/24/2015,6,1980
USGS,6485950,60,128929,12,25,2016,2021,12/25/2015,6,1910
USGS,6485950,60,128929,12,26,2016,2021,12/26/2015,6,1960
USGS,6485950,60,128929,12,27,2016,2021,12/27/2015,6,2040
USGS,6485950,60,128929,12,28,2016,2021,12/28/2015,6,2100
USGS,6485950,60,128929,12,29,2016,2021,12/29/2015,6,2130
USGS,6485950,60,128929,12,30,2016,2021,12/30/2015,6,2120
USGS,6485950,60,128929,12,31,2016,2021,12/31/2015,6,2080
